# Para_set	Fixed2_set	Fixed1
# "Para"	"Fixed2"	"Fixed1"
# 9	8
1	2	20
1	3	35
1	4	50
1	5	65
1	6	80
1	7	95
1	8	110
1	9	125

1.5	2	140
1.5	3	155
1.5	4	170
1.5	5	185
1.5	6	200
1.5	7	215
1.5	8	230
1.5	9	245

2	2	260
2	3	275
2	4	290
2	5	305
2	6	320
2	7	335
2	8	350
2	9	365

2.5	2	380
2.5	3	395
2.5	4	410
2.5	5	425
2.5	6	440
2.5	7	455
2.5	8	470
2.5	9	485

3	2	500
3	3	515
3	4	530
3	5	545
3	6	560
3	7	575
3	8	590
3	9	605

3.5	2	620
3.5	3	635
3.5	4	650
3.5	5	665
3.5	6	680
3.5	7	695
3.5	8	710
3.5	9	725

4	2	740
4	3	755
4	4	770
4	5	785
4	6	800
4	7	815
4	8	830
4	9	845

4.5	2	860
4.5	3	875
4.5	4	890
4.5	5	905
4.5	6	920
4.5	7	935
4.5	8	950
4.5	9	965

5	2	980
5	3	995
5	4	1010
5	5	1025
5	6	1040
5	7	1055
5	8	1070
5	9	1085
