# Para1_set	Para2_set	Fixed1	Fixed2
# "Para1"	"Para2"	"Fixed1"	"Fixed2"
# 9	8
1	2	20	5
1	3	35	20
1	4	50	35
1	5	65	50
1	6	80	65
1	7	95	80
1	8	110	95
1	9	125	110

1.5	2	140	125
1.5	3	155	140
1.5	4	170	155
1.5	5	185	170
1.5	6	200	185
1.5	7	215	200
1.5	8	230	215
1.5	9	245	230

2	2	260	245
2	3	275	260
2	4	290	275
2	5	305	290
2	6	320	305
2	7	335	320
2	8	350	335
2	9	365	350

2.5	2	380	365
2.5	3	395	380
2.5	4	410	395
2.5	5	425	410
2.5	6	440	425
2.5	7	455	440
2.5	8	470	455
2.5	9	485	470

3	2	500	485
3	3	515	500
3	4	530	515
3	5	545	530
3	6	560	545
3	7	575	560
3	8	590	575
3	9	605	590

3.5	2	620	605
3.5	3	635	620
3.5	4	650	635
3.5	5	665	650
3.5	6	680	665
3.5	7	695	680
3.5	8	710	695
3.5	9	725	710

4	2	740	725
4	3	755	740
4	4	770	755
4	5	785	770
4	6	800	785
4	7	815	800
4	8	830	815
4	9	845	830

4.5	2	860	845
4.5	3	875	860
4.5	4	890	875
4.5	5	905	890
4.5	6	920	905
4.5	7	935	920
4.5	8	950	935
4.5	9	965	950

5	2	980	965
5	3	995	980
5	4	1010	995
5	5	1025	1010
5	6	1040	1025
5	7	1055	1040
5	8	1070	1055
5	9	1085	1070
